section,item,field,en_text
amenities,Geco,displayName,Casa Geco
amenities,Geco,amenities[0].name,Private Equipped Bathroom
amenities,Geco,amenities[0].icon,bath
amenities,Geco,amenities[1].name,Private Equipped Kitchen
amenities,Geco,amenities[1].icon,kitchen
amenities,Geco,amenities[2].name,A/C
amenities,Geco,amenities[2].icon,ac
amenities,Geco,amenities[3].name,Private Fenced Parking
amenities,Geco,amenities[3].icon,parking
amenities,Geco,amenities[4].name,100Mbps WiFi
amenities,Geco,amenities[4].icon,wifi
amenities,Geco,amenities[5].name,Pet Friendly
amenities,Geco,amenities[5].icon,pet
amenities,Rana,displayName,Casa Rana
amenities,Rana,amenities[0].name,Private Equipped Bathroom
amenities,Rana,amenities[0].icon,bath
amenities,Rana,amenities[1].name,Private Equipped Kitchen
amenities,Rana,amenities[1].icon,kitchen
amenities,Rana,amenities[2].name,A/C
amenities,Rana,amenities[2].icon,ac
amenities,Rana,amenities[3].name,Private Fenced Parking
amenities,Rana,amenities[3].icon,parking
amenities,Rana,amenities[4].name,100Mbps WiFi
amenities,Rana,amenities[4].icon,wifi
amenities,Rana,amenities[5].name,Pet Friendly
amenities,Rana,amenities[5].icon,pet
amenities,Tucano,displayName,Casa Tucano
amenities,Tucano,amenities[0].name,Private Equipped Bathroom
amenities,Tucano,amenities[0].icon,bath
amenities,Tucano,amenities[1].name,Private Equipped Kitchen
amenities,Tucano,amenities[1].icon,kitchen
amenities,Tucano,amenities[2].name,A/C
amenities,Tucano,amenities[2].icon,ac
amenities,Tucano,amenities[3].name,100Mbps WiFi
amenities,Tucano,amenities[3].icon,wifi
amenities,Tucano,amenities[4].name,Outside Parking
amenities,Tucano,amenities[4].icon,parking
amenities,Tucano,amenities[5].name,Pet Friendly
amenities,Tucano,amenities[5].icon,pet
amenities,Pappagallo,displayName,Casa Pappagallo
amenities,Pappagallo,amenities[0].name,Private Equipped Bathroom
amenities,Pappagallo,amenities[0].icon,bath
amenities,Pappagallo,amenities[1].name,Private Equipped Kitchen
amenities,Pappagallo,amenities[1].icon,kitchen
amenities,Pappagallo,amenities[2].name,A/C
amenities,Pappagallo,amenities[2].icon,ac
amenities,Pappagallo,amenities[3].name,100Mbps WiFi
amenities,Pappagallo,amenities[3].icon,wifi
amenities,Pappagallo,amenities[4].name,Outside Parking
amenities,Pappagallo,amenities[4].icon,parking
amenities,Pappagallo,amenities[5].name,Pet Friendly
amenities,Pappagallo,amenities[5].icon,pet
amenities,Delfin,displayName,Casa Delfines
amenities,Delfin,amenities[0].name,2 Private Equipped Bathrooms
amenities,Delfin,amenities[0].icon,bath
amenities,Delfin,amenities[1].name,Private Equipped Kitchen
amenities,Delfin,amenities[1].icon,kitchen
amenities,Delfin,amenities[2].name,Bedrooms with A/C
amenities,Delfin,amenities[2].icon,ac
amenities,Delfin,amenities[3].name,Private Fenced Parking for 2 Vehicles
amenities,Delfin,amenities[3].icon,parking
amenities,Delfin,amenities[4].name,100Mbps WiFi
amenities,Delfin,amenities[4].icon,wifi
amenities,Areka,displayName,Casa Areka
